"TOTAL ALL PRODUCTS","Italy","Canada",2151177,,,1820071,,,1871175,,,1974684,,,1993960,,,2158118,,,2302926,,,2317871,,,2722267,,,3001039,,,3014325,,,3376370,,,3751276,,,3819996,,,2883320,,,3137980,,,3749817,,,3709760,,,4017028,,,4109318,,,4078508,,,4090435,,,4439217,,,4858542,,,5032274,,,4875750,,,5716244,,,7211085,,
"TOTAL ALL PRODUCTS","Italy","China",2694704,,,2868644,,,2528461,,,2055081,,,1933024,,,2160811,,,2903965,,,3750222,,,4296244,,,5451982,,,5658605,,,7139124,,,8619928,,,9460529,,,9246315,,,11370047,,,13859845,,,11567294,,,13068832,,,13931561,,,11542515,,,12234173,,,15239908,,,15513610,,,14519418,,,14678167,,,18518366,,,18592412,,
"TOTAL ALL PRODUCTS","Italy","France",30262758,,,32041425,,,29010534,,,30901578,,,30766279,,,30417030,,,29921849,,,30944845,,,37004620,,,43465554,,,45522112,,,49116844,,,57547830,,,60975938,,,47400942,,,51724538,,,60240177,,,55577459,,,56148069,,,55781499,,,47291424,,,48692317,,,52348142,,,57500672,,,56604054,,,51614465,,,63223815,,,69896356,,
"TOTAL ALL PRODUCTS","Italy","Germany",43236426,,,44087702,,,38960091,,,39892103,,,39031960,,,36321757,,,35701139,,,34971601,,,41823073,,,47911771,,,48806614,,,55162722,,,64758987,,,69285481,,,51525071,,,57766852,,,68230665,,,62768608,,,64356077,,,66568028,,,56269723,,,58311990,,,63318719,,,68756281,,,65509541,,,64060377,,,79761126,,,86759812,,
"TOTAL ALL PRODUCTS","Italy","India",1094743,,,1214567,,,1059519,,,1081606,,,792853,,,916297,,,875847,,,957578,,,1194971,,,1540707,,,2043523,,,2718800,,,4104911,,,4544302,,,3814926,,,4237984,,,4932280,,,4301530,,,3945214,,,4031753,,,3712029,,,3621178,,,4034496,,,4675976,,,4468969,,,3458062,,,4587382,,,5410688,,
"TOTAL ALL PRODUCTS","Italy","Japan",5345994,,,5583159,,,4714118,,,4044132,,,3700952,,,3978300,,,4177536,,,4216762,,,4872517,,,5354369,,,5611632,,,5628879,,,5909929,,,6251746,,,5180850,,,5279306,,,6559392,,,7240167,,,7996573,,,7112261,,,6104324,,,6663467,,,7404924,,,7639885,,,8632719,,,8129701,,,8929576,,,9048043,,
"TOTAL ALL PRODUCTS","Italy","Russian Federation",2868677,,,3717366,,,3850464,,,3021430,,,1827536,,,2322661,,,3159169,,,3576152,,,4331886,,,6147227,,,7536647,,,9573983,,,13101855,,,15395629,,,8971082,,,10448333,,,12924863,,,12828033,,,14301937,,,12615965,,,7862631,,,7402633,,,8987781,,,8942305,,,8824050,,,8081698,,,9072296,,,6646331,,
"TOTAL ALL PRODUCTS","Italy","South Africa",,,,,,,,,,,,,,,,904244,,,950286,,,939501,,,1073830,,,1397199,,,1586380,,,1993368,,,2115542,,,2105487,,,1495628,,,1750802,,,2365314,,,2283297,,,2526352,,,2499127,,,2109859,,,1764090,,,2090584,,,2371885,,,2083003,,,1723557,,,2658877,,,2642696,,
"TOTAL ALL PRODUCTS","Italy","United Kingdom",14288773,,,16324948,,,16937979,,,17435638,,,16855137,,,16564140,,,16455279,,,17646675,,,21006888,,,24918697,,,24394586,,,25326579,,,29111005,,,28424578,,,20856553,,,23069823,,,24172152,,,24367367,,,26016913,,,27799021,,,24783064,,,24802558,,,26195222,,,28124184,,,28248709,,,25777808,,,27694255,,,30604783,,
"TOTAL ALL PRODUCTS","Italy","United States of America",16897663,,,18450176,,,18912678,,,20769905,,,21775741,,,24562731,,,23426160,,,24292638,,,24757276,,,27691637,,,29666679,,,30833553,,,33247913,,,33873739,,,23857712,,,26826432,,,31662267,,,34246957,,,35909527,,,39508766,,,39881613,,,40821344,,,45684759,,,50118654,,,50990415,,,48473451,,,58372634,,,73120873,,
"TOTAL ALL PRODUCTS","Italy","World",230441484,,,252098576,,,238265778,,,242102206,,,234962951,,,238651236,,,242640592,,,252238686,,,296907926,,,350902541,,,370180743,,,416848747,,,499871159,,,542727535,,,406900260,,,446839830,,,523256296,,,501528851,,,518095103,,,529528733,,,456988626,,,461667625,,,507430236,,,549906996,,,537748429,,,498803832,,,615910260,,,700314893,,
"TOTAL ALL PRODUCTS","Italy","Africa",6830989,,,7055783,,,7451098,,,8805441,,,7159168,,,8345547,,,8921586,,,9316330,,,10894150,,,12826746,,,14157957,,,15847069,,,19994814,,,26442278,,,22420969,,,23442409,,,22065945,,,24385351,,,27079734,,,26759937,,,20833652,,,19139514,,,19680135,,,21269240,,,19358651,,,17171962,,,21202618,,,23803159,,
"TOTAL ALL PRODUCTS","Italy","Americas",27126290,,,30071797,,,31161521,,,33479356,,,32861758,,,36123594,,,34682029,,,34738172,,,35575076,,,40236424,,,42877250,,,46597355,,,53427209,,,55594598,,,39321156,,,44488396,,,54889856,,,57280270,,,59290001,,,62083547,,,59223684,,,59196157,,,66240925,,,71948279,,,71598548,,,66861958,,,81763929,,,101939201,,
"TOTAL ALL PRODUCTS","Italy","Asia",34490621,,,38948996,,,34962533,,,28999890,,,25714992,,,29365183,,,30714200,,,32666215,,,38093794,,,46067030,,,49414797,,,56658516,,,69285463,,,78160090,,,64529406,,,71158887,,,86485912,,,84349260,,,89400940,,,91042773,,,79770431,,,78796917,,,86492514,,,87567600,,,83550689,,,75405748,,,92168323,,,104992236,,
"TOTAL ALL PRODUCTS","Italy","Europe",152018619,,,164442765,,,153946052,,,160006835,,,163278907,,,161372241,,,165032374,,,171957283,,,207929253,,,246484773,,,258245939,,,292277855,,,349878668,,,372723427,,,273704439,,,297081774,,,346301977,,,324935465,,,331611332,,,339084447,,,288291015,,,295067011,,,324733526,,,356225678,,,350004727,,,328423230,,,405459891,,,450955864,,
"TOTAL ALL PRODUCTS","Italy","Oceania",1894594,,,2186387,,,2046910,,,2058083,,,2102732,,,2061999,,,2064670,,,2471058,,,3081082,,,3740025,,,3758779,,,3728118,,,4610593,,,5199729,,,3868026,,,4120966,,,4953980,,,5644802,,,5778161,,,5508535,,,4562677,,,5050525,,,5130521,,,5564496,,,5376782,,,5042340,,,6302960,,,7163251,,
"TOTAL ALL PRODUCTS","Japan","Brazil",2584489,,,2217561,,,2929554,,,2623850,,,2044186,,,2522235,,,2474448,,,1812270,,,1880629,,,2349335,,,2712566,,,3044769,,,3994325,,,5914510,,,4234919,,,6201059,,,6206737,,,5925732,,,5659958,,,4724517,,,3930772,,,2791693,,,3392880,,,4000190,,,3763061,,,2957107,,,4187695,,,4318244,,
"TOTAL ALL PRODUCTS","Japan","Canada",5819556,,,5120753,,,6101131,,,6347548,,,6927091,,,7477935,,,6564225,,,7340305,,,7395106,,,7640176,,,8805555,,,9956230,,,10539908,,,10765196,,,7748128,,,9326254,,,8908722,,,10259056,,,8689711,,,7986542,,,7735540,,,8162346,,,9592387,,,9326490,,,8876493,,,7244489,,,8354141,,,8608306,,
"TOTAL ALL PRODUCTS","Japan","China",21991316,,,21886793,,,21745509,,,20086250,,,23340189,,,30382096,,,30994260,,,39824770,,,57416822,,,73938663,,,80074348,,,92769551,,,109270656,,,124900515,,,109727428,,,149450759,,,162035386,,,144184828,,,129401394,,,126361386,,,109277767,,,113830234,,,132781187,,,144033052,,,134673080,,,141399200,,,163860266,,,144539096,,
"TOTAL ALL PRODUCTS","Japan","France",6169648,"Incomplete territorial aggregate",,5500012,,,5725585,,,6284417,,,6906633,,,7491373,,,6281121,,,6172002,,,7116747,,,8407582,,,7805606,,,7666529,,,8413478,,,9111878,,,6213708,,,6706466,,,8196590,,,6700046,,,6304548,,,5945717,,,5260895,,,6239737,,,6283165,,,7323324,,,6843229,,,5665720,,,6681061,,,6414079,,
"TOTAL ALL PRODUCTS","Japan","Germany",20348943,,,18198349,,,18000404,,,19076230,,,18634327,,,19996910,,,15619650,,,14122267,,,16422575,,,18963509,,,18646424,,,20417588,,,22636201,,,23955461,,,16653366,,,20290087,,,23502535,,,20795608,,,18959230,,,19054719,,,16236971,,,17652733,,,18946116,,,20888549,,,20226925,,,17581161,,,20764843,,,19552223,,
"TOTAL ALL PRODUCTS","Japan","India",2538340,,,2431605,,,2213065,,,2409561,,,2420351,,,2486092,,,1924664,,,1870339,,,2391169,,,3043678,,,3517897,,,4452963,,,6155892,,,7895493,,,6338462,,,9042207,,,11077856,,,10590546,,,8593032,,,8130224,,,8109855,,,8188759,,,8857207,,,11010371,,,10975132,,,9103150,,,12856576,,,13927701,,
"TOTAL ALL PRODUCTS","Japan","Italy",4081802,,,3383885,,,3792818,,,4238243,,,5077867,,,5792676,,,4814306,,,4492177,,,5501133,,,6456121,,,5724733,,,6427607,,,6724854,,,6804704,,,4803933,,,5592430,,,5333780,,,3660248,,,3272318,,,3514047,,,3594211,,,4708755,,,4893423,,,4698120,,,4598801,,,3780566,,,5004039,,,5307034,,
"TOTAL ALL PRODUCTS","Japan","Russian Federation",1153515,,,1023001,,,1013946,,,977669,,,480353,,,569743,,,716613,,,944973,,,1765173,,,3119392,,,4488231,,,7059428,,,10769761,,,16534098,,,3285883,,,8026079,,,11813424,,,12591435,,,10957793,,,9177180,,,5104332,,,5100323,,,6008013,,,7297557,,,7178485,,,5886023,,,7857200,,,4606236,,
"TOTAL ALL PRODUCTS","Japan","South Africa",,,,,,,,,,,,,,,,1863300,,,1494967,,,1553833,,,2031662,,,2907558,,,3273581,,,4057167,,,4610550,,,4627725,,,2606680,,,3830195,,,4316680,,,4062061,,,3462935,,,3239560,,,2689898,,,2230509,,,2514489,,,2519433,,,2415434,,,1671186,,,2362282,,,2349816,,
"TOTAL ALL PRODUCTS","Japan","United Kingdom",14113494,,,12476349,,,13711513,,,14598700,,,14196145,,,14831133,,,12146534,,,11978656,,,13226493,,,14976454,,,15073381,,,15211178,,,16314872,,,16463762,,,11814502,,,14173715,,,16382201,,,13337751,,,11105603,,,11183006,,,10740097,,,13659024,,,13726405,,,13900288,,,13880140,,,10737768,,,10366334,,,11025460,,
"TOTAL ALL PRODUCTS","Japan","United States of America",122024090,,,112990834,,,118412496,,,119845236,,,129796945,,,142480029,,,122542922,,,120388714,,,117542209,,,128693890,,,135946685,,,147197747,,,145624196,,,138704955,,,95302741,,,120338243,,,127674665,,,142084775,,,134539553,,,130773312,,,126387232,,,130585866,,,135094799,,,140713379,,,140498531,,,118793186,,,135975915,,,139767573,,
"TOTAL ALL PRODUCTS","Japan","World",442937360,,,410946941,,,421052868,,,388136156,,,417610125,,,479275540,,,403344077,,,416729388,,,472006874,,,565761137,,,594940866,,,646725059,,,714327036,,,781412163,,,580718734,,,769773832,,,823183759,,,798620023,,,715097244,,,690217466,,,624873508,,,644932439,,,698131224,,,738195055,,,705671083,,,641282568,,,757066261,,,746672097,,
"TOTAL ALL PRODUCTS","Japan","Africa",4882245,,,3624949,,,3458545,,,3876521,,,3654545,,,4907954,,,4311032,,,4817592,,,5456227,,,7502563,,,8059157,,,9312546,,,11487224,,,13305820,,,9443694,,,12004434,,,13169817,,,12890401,,,11384315,,,10415582,,,8527225,,,7685238,,,7479777,,,8110067,,,8973145,,,7918255,,,9578289,,,9628954,,
"TOTAL ALL PRODUCTS","Japan","Americas",146309563,,,134835932,,,144298666,,,145779362,,,154615403,,,170941303,,,145523870,,,142511811,,,140091404,,,156252595,,,167908185,,,186006944,,,189446942,,,188686541,,,134409222,,,172017869,,,178819305,,,193436289,,,177644783,,,170490276,,,161420580,,,165781482,,,172476394,,,180010587,,,178323142,,,146896575,,,171581817,,,175849450,,
"TOTAL ALL PRODUCTS","Japan","Asia",202600203,,,191795751,,,189011268,,,148838490,,,166305071,,,208298460,,,173942159,,,191830667,,,233625000,,,290882530,,,307104835,,,329588864,,,373406745,,,423117756,,,338117820,,,460516917,,,489582184,,,468790583,,,417258030,,,405043876,,,362374118,,,369428991,,,407660187,,,431838192,,,404285639,,,388152909,,,461482309,,,447185857,,
"TOTAL ALL PRODUCTS","Japan","Europe",71359472,,,64309245,,,67945779,,,73360910,,,80803452,,,84788774,,,70198173,,,67289121,,,80522684,,,96185410,,,96197771,,,106284486,,,122026417,,,135039375,,,83602048,,,104693356,,,119245153,,,100467943,,,87990845,,,85744829,,,75188415,,,83511319,,,89974227,,,96451511,,,95229248,,,82476858,,,94413158,,,92567383,,
"TOTAL ALL PRODUCTS","Japan","Oceania",10436420,,,9986967,,,10307715,,,9759555,,,10590639,,,10294985,,,9316824,,,10220180,,,12252287,,,14825061,,,15525581,,,15476929,,,17907374,,,21214936,,,15109260,,,20506615,,,22327961,,,23008024,,,20797933,,,18492295,,,17341791,,,18500511,,,20517435,,,21763356,,,18834919,,,15821180,,,19990740,,,21412830,,
"TOTAL ALL PRODUCTS","Russian Federation","Brazil",96200,"Estimated",,109092,,,146330,,,177190,,,194268,,,258560,,,191162,,,229980,,,256848,,,368603,,,605634,,,725852,,,1129761,,,2040699,,,1083000,,,1722941,,,2102530,,,2304867,,,1984660,,,2289530,,,1922923,,,2337851,,,2658170,,,2584083,,,2454720,,,1994237,,,5261220,,,8317052,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","Canada",78924,"Estimated",,89488,,,134940,,,140317,,,115546,,,88905,,,59740,,,85033,,,265725,,,500446,,,200427,,,362345,,,332390,,,939836,,,489000,,,768957,,,536751,,,345255,,,471421,,,604519,,,452107,,,423475,,,651404,,,580644,,,817219,,,319074,,,737710,,,1039909,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","China",3495042,"Estimated",,3963561,,,3981394,,,3199632,,,3526768,,,5247620,,,5596013,,,6836947,,,8257599,,,10105069,,,13047745,,,15757053,,,15166641,,,21147334,,,16669000,,,19783043,,,34692362,,,35766830,,,35625420,,,37414604,,,28334955,,,29953377,,,41671349,,,56019904,,,57321296,,,49146337,,,68679248,,,67403459,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","France",1276154,"Estimated. Incomplete territorial aggregate",,1447215,,,1626105,,,1456016,,,1218031,,,1913697,,,2250075,,,2658767,,,3490966,,,4424658,,,6127752,,,7623849,,,6222012,,,12282139,,,8750918,,,9321758,,,10852220,,,7420066,,,5928166,,,4839236,,,3066523,,,4983034,,,6028246,,,7781230,,,6456447,,,4757525,,,9910302,,,12749170,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","Germany",5769612,"Estimated",,6543007,,,6531072,,,5720608,,,6202244,,,9231829,,,9194176,,,8059299,,,10419866,,,13302044,,,19735913,,,24499816,,,18604906,,,33187252,,,18708182,,,15862275,,,22766472,,,24039166,,,22962139,,,24950268,,,15906242,,,21452143,,,26202990,,,34184358,,,28049418,,,18618931,,,29645649,,,29634295,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","India",435557,"Estimated",,493939,,,917652,,,585127,,,1177240,,,1081684,,,1120423,,,1610552,,,2735373,,,2502043,,,2314004,,,2925514,,,3033606,,,5231012,,,5937000,,,5406299,,,4665704,,,7566693,,,6982660,,,4395697,,,4549941,,,5823066,,,7125588,,,7751475,,,7308334,,,5798193,,,9128108,,,12107687,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","Italy",,,,2728985,,,3564252,,,3221707,,,3754985,,,7254325,,,7401528,,,7442133,,,8514861,,,12087832,,,19055788,,,25102839,,,22631149,,,41955811,,,25060000,,,24375011,,,27898666,,,28007565,,,29156006,,,28986126,,,16204284,,,12284662,,,14044516,,,16400964,,,14341896,,,10071345,,,19284242,,,26233417,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","Japan",2185840,"Estimated",,2478853,,,2935048,,,2193670,,,2124691,,,2764309,,,2426637,,,1803313,,,2421423,,,3403888,,,3740270,,,4624672,,,7490643,,,10429043,,,7262993,,,12493562,,,14234690,,,15588027,,,19667508,,,19830781,,,14426352,,,9845580,,,11013598,,,12440342,,,11354761,,,9053904,,,10726012,,,12992567,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","South Africa",,,,,,,,,,,,,,,,33628,,,5844,,,40209,,,6927,,,9070,,,25241,,,20085,,,14329,,,40281,,,195284,,,45772,,,114617,,,278745,,,286229,,,285704,,,274310,,,202413,,,205647,,,285742,,,280694,,,288385,,,342222,,,407752,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","United Kingdom",2511172,"Estimated",,2847794,,,3054527,,,3024791,,,2885676,,,4670042,,,4282863,,,3802771,,,4918644,,,5640218,,,8280331,,,10391217,,,9902298,,,14904714,,,9073000,,,9695647,,,10349919,,,12561813,,,12354672,,,7503797,,,4523692,,,7061743,,,8862350,,,9769721,,,13271652,,,23158449,,,22274620,,,20440586,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","United States of America",3393041,"Estimated",,3847874,,,4486023,,,5137923,,,4713984,,,4648016,,,4198805,,,4019994,,,4274224,,,6625955,,,6366077,,,8851517,,,7311805,,,13752790,,,9286431,,,11933020,,,15626335,,,13022324,,,11177056,,,9553488,,,8393105,,,10097661,,,11790526,,,12569089,,,13189241,,,10958393,,,17747761,,,16478371,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","World",78217276,"Estimated",,88702812,,,85889245,,,72275585,,,72885000,,,103092748,,,99868397,,,106691998,,,133655685,,,181600379,,,241451657,,,301550666,,,352266399,,,467993955,,,301796059,,,397067521,,,516992618,,,524766421,,,527265919,,,497833529,,,343907652,,,301780443,,,379206606,,,451494828,,,426720333,,,337103970,,,492313791,,,585904699,"Estimated",
"TOTAL ALL PRODUCTS","Russian Federation","Africa",549647,,,623235,,,742940,,,1014463,,,1058404,,,1090191,,,1131443,,,1420538,,,1325177,,,2163293,,,2559640,,,3155001,,,4164796,,,6284901,,,5264233,,,4890359,,,8227741,,,9663719,,,7222798,,,8450119,,,7353765,,,11619686,,,15178052,,,17401809,,,13935024,,,11854319,,,14672103,,,24677307,,
"TOTAL ALL PRODUCTS","Russian Federation","Americas",6214994,,,7048056,,,6698953,,,7350809,,,7738104,,,9157375,,,8206266,,,7466331,,,8043456,,,10315049,,,11482106,,,14143120,,,12177759,,,21361398,,,13132441,,,16842678,,,23981791,,,20354690,,,19864292,,,16479202,,,13749433,,,16561338,,,19463874,,,21257637,,,20461236,,,15903545,,,30753522,,,35327233,,
"TOTAL ALL PRODUCTS","Russian Federation","Asia",14792211,,,16774634,,,18169442,,,14559064,,,14508227,,,20610142,,,22098453,,,24439672,,,31658314,,,42529739,,,52598133,,,63640281,,,74712622,,,110979892,,,80850980,,,98191927,,,126748372,,,136855856,,,147663354,,,146374187,,,107790361,,,109065667,,,140555425,,,164944790,,,162453443,,,142250409,,,195824291,,,243229491,,
"TOTAL ALL PRODUCTS","Russian Federation","Europe",44359845,,,53035038,,,56883816,,,48612218,,,49263766,,,72226482,,,68379304,,,73302827,,,92539586,,,126491683,,,174719978,,,220553448,,,217848720,,,329253345,,,198857604,,,226861236,,,285386595,,,295248235,,,284811970,,,259042452,,,161375711,,,164008097,,,202276053,,,246099284,,,227617881,,,166000426,,,249924529,,,282306344,,
"TOTAL ALL PRODUCTS","Russian Federation","Oceania",12730,,,14422,,,32804,,,19078,,,10087,,,8234,,,20519,,,19219,,,44810,,,52217,,,62709,,,34041,,,60416,,,93953,,,239881,,,134257,,,80361,,,205644,,,419843,,,562471,,,540126,,,181037,,,209316,,,181176,,,335972,,,386705,,,303713,,,364323,,
"TOTAL ALL PRODUCTS","South Africa","Brazil",215044,"Estimated. estimate",,223435,"Estimated. estimate",,234796,"Estimated. estimate",,209529,"Estimated. estimate",,198261,"Estimated. estimate",,179872,"Estimated",,202864,"Estimated",,125105,"Estimated",,143708,"Estimated",,197533,"Estimated",,264707,"Estimated",,334649,"Estimated",,415689,"Estimated",,550853,"Estimated",,289198,"Estimated",,667993,"Estimated",,795592,"Estimated",,695385,"Estimated",,572988,"Estimated",,574678,"Estimated",,563102,"Estimated",,298791,"Estimated",,408315,"Estimated",,497140,"Estimated",,521657,"Estimated",,411139,"Estimated",,666637,"Estimated",,611384,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","Canada",242366,"Estimated. estimate",,252230,"Estimated. estimate",,275352,"Estimated. estimate",,226672,"Estimated. estimate",,224937,"Estimated. estimate",,230893,"Estimated",,175708,"Estimated",,165303,"Estimated",,213262,"Estimated",,324067,"Estimated",,426292,"Estimated",,457937,"Estimated",,705656,"Estimated",,462579,"Estimated",,325880,"Estimated",,556247,"Estimated",,644697,"Estimated",,474835,"Estimated",,402909,"Estimated",,689999,"Estimated",,484385,"Estimated",,451395,"Estimated",,482201,"Estimated",,472209,"Estimated",,472144,"Estimated",,784232,"Estimated",,768800,"Estimated",,942267,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","China",685798,"Estimated. estimate",,725084,"Estimated. estimate",,754424,"Estimated. estimate",,652124,"Estimated. estimate",,678066,"Estimated. estimate",,554714,"Estimated",,615898,"Estimated",,579997,"Estimated",,998613,"Estimated",,1490967,"Estimated",,1874869,"Estimated",,2401791,"Estimated",,4173692,"Estimated",,5044141,"Estimated",,5044999,"Estimated",,9446605,"Estimated",,19943725,"Estimated",,22689269,"Estimated",,24373415,"Estimated",,21804432,"Estimated",,13021303,"Estimated",,12653427,"Estimated",,14368378,"Estimated",,15452578,"Estimated",,15316191,"Estimated",,13512469,"Estimated",,20527231,"Estimated",,18506534,"Estimated",
