"TOTAL ALL PRODUCTS","South Africa","France",624393,"Estimated. estimate",,657538,"Estimated. estimate",,691100,"Estimated. estimate",,592512,"Estimated. estimate",,607760,"Estimated. estimate",,517333,"Estimated",,525085,"Estimated",,500584,"Estimated",,621965,"Estimated",,773001,"Estimated",,883257,"Estimated",,913889,"Estimated",,1057972,"Estimated",,1105167,"Estimated",,653194,"Estimated",,974663,"Estimated",,967464,"Estimated",,768331,"Estimated",,786175,"Estimated",,777214,"Estimated",,664505,"Estimated",,695625,"Estimated",,806086,"Estimated",,870508,"Estimated",,816138,"Estimated",,484619,"Estimated",,655446,"Estimated",,767828,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","Germany",2210555,"Estimated. estimate",,2317157,"Estimated. estimate",,2458564,"Estimated. estimate",,2097308,"Estimated. estimate",,2112403,"Estimated. estimate",,1891763,"Estimated",,1888134,"Estimated",,1580601,"Estimated",,1985027,"Estimated",,2570517,"Estimated",,2814059,"Estimated",,3398836,"Estimated",,4107009,"Estimated",,4726780,"Estimated",,2954252,"Estimated",,5372839,"Estimated",,5956896,"Estimated",,4081766,"Estimated",,3783229,"Estimated",,4095655,"Estimated",,4729719,"Estimated",,5049026,"Estimated",,5884352,"Estimated",,6625964,"Estimated",,7389058,"Estimated",,6873831,"Estimated",,9986076,"Estimated",,9309827,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","India",821851,"Estimated. estimate",,873015,"Estimated. estimate",,915024,"Estimated. estimate",,768523,"Estimated. estimate",,827515,"Estimated. estimate",,607333,"Estimated",,606505,"Estimated",,675970,"Estimated",,751623,"Estimated",,879071,"Estimated",,1384936,"Estimated",,1130870,"Estimated",,1599555,"Estimated",,2674985,"Estimated",,2239268,"Estimated",,4047636,"Estimated",,5134051,"Estimated",,4659590,"Estimated",,3890882,"Estimated",,3829249,"Estimated",,3841426,"Estimated",,3450870,"Estimated",,4658903,"Estimated",,4601562,"Estimated",,4401687,"Estimated",,4028233,"Estimated",,6039173,"Estimated",,6367957,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","Italy",1295583,"Estimated. estimate",,1348503,"Estimated. estimate",,1472541,"Estimated. estimate",,1210981,"Estimated. estimate",,1203114,"Estimated. estimate",,1251544,"Estimated",,990657,"Estimated",,896858,"Estimated",,967111,"Estimated",,1370873,"Estimated",,1609222,"Estimated",,1643358,"Estimated",,2000495,"Estimated",,2052341,"Estimated",,1187340,"Estimated",,1772224,"Estimated",,2029349,"Estimated",,1512371,"Estimated",,1267233,"Estimated",,1342315,"Estimated",,1311495,"Estimated",,1122326,"Estimated",,1109530,"Estimated",,1142701,"Estimated",,1029113,"Estimated",,954862,"Estimated",,1480932,"Estimated",,1963222,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","Japan",2012752,"Estimated. estimate",,2108042,"Estimated. estimate",,2241072,"Estimated. estimate",,1909111,"Estimated. estimate",,1916901,"Estimated. estimate",,1764435,"Estimated",,1722576,"Estimated",,1481449,"Estimated",,2464105,"Estimated",,3236227,"Estimated",,4155005,"Estimated",,5004582,"Estimated",,5717268,"Estimated",,6353953,"Estimated",,3202965,"Estimated",,6081365,"Estimated",,7208037,"Estimated",,4994293,"Estimated",,4966024,"Estimated",,4320334,"Estimated",,3853200,"Estimated",,3320474,"Estimated",,3954199,"Estimated",,4128733,"Estimated",,4063712,"Estimated",,4228222,"Estimated",,8076943,"Estimated",,7776164,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","Russian Federation",47476,"Estimated. estimate",,50421,"Estimated. estimate",,53207,"Estimated. estimate",,44108,"Estimated. estimate",,47765,"Estimated. estimate",,38510,"Estimated",,29820,"Estimated",,42936,"Estimated",,67430,"Estimated",,83752,"Estimated",,79310,"Estimated",,99848,"Estimated",,152047,"Estimated",,232513,"Estimated",,166490,"Estimated",,313330,"Estimated",,297085,"Estimated",,432538,"Estimated",,439356,"Estimated",,397751,"Estimated",,343267,"Estimated",,333158,"Estimated",,423164,"Estimated",,472166,"Estimated",,476620,"Estimated",,441842,"Estimated",,495940,"Estimated",,302325,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","United Kingdom",2974757,"Estimated. estimate",,3123278,"Estimated. estimate",,3287617,"Estimated. estimate",,2835538,"Estimated. estimate",,2861194,"Estimated. estimate",,2819653,"Estimated",,3366019,"Estimated",,2875969,"Estimated",,3760563,"Estimated",,4234075,"Estimated",,4696216,"Estimated",,5371724,"Estimated",,5903029,"Estimated",,6893481,"Estimated",,5149195,"Estimated",,5801958,"Estimated",,6274533,"Estimated",,5432027,"Estimated",,3179892,"Estimated",,4174099,"Estimated",,3933823,"Estimated",,5587414,"Estimated",,5121213,"Estimated",,5531512,"Estimated",,5662684,"Estimated",,5431217,"Estimated",,7909146,"Estimated",,5985864,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","United States of America",3178209,"Estimated. estimate",,3324012,"Estimated. estimate",,3517637,"Estimated. estimate",,3036688,"Estimated. estimate",,3009809,"Estimated. estimate",,2699447,"Estimated",,2853213,"Estimated",,2232858,"Estimated",,3163894,"Estimated",,4028759,"Estimated",,4271223,"Estimated",,5359553,"Estimated",,6511430,"Estimated",,6767403,"Estimated",,3849604,"Estimated",,6917906,"Estimated",,7944383,"Estimated",,6844494,"Estimated",,6240629,"Estimated",,6074175,"Estimated",,5857525,"Estimated",,5338053,"Estimated",,6411014,"Estimated",,6413500,"Estimated",,6096814,"Estimated",,8201402,"Estimated",,12383741,"Estimated",,10651725,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","World",27853000,"Estimated. estimate",,29221000,"Estimated. estimate",,31027000,"Estimated. estimate",,26362000,"Estimated. estimate",,26707000,"Estimated. estimate",,26297952,"Estimated",,25997549,"Estimated",,23064420,"Estimated",,31635889,"Estimated",,40263523,"Estimated",,46991047,"Estimated",,52601760,"Estimated",,64026608,"Estimated",,73965546,"Estimated",,53863892,"Estimated",,82630650,"Estimated",,107956344,"Estimated",,98824504,"Estimated",,95062895,"Estimated",,92590712,"Estimated",,80264493,"Estimated",,75912597,"Estimated",,88233219,"Estimated",,93677434,"Estimated",,89395988,"Estimated",,85226766,"Estimated",,121321279,"Estimated",,121616282,"Estimated",
"TOTAL ALL PRODUCTS","South Africa","Africa",5498075,,,5803628,,,6117808,,,5177498,,,5401696,,,6386749,,,6141900,,,5950604,,,8193844,,,9996301,,,11210759,,,11884677,,,14491550,,,17208095,,,15529244,,,21396853,,,26085753,,,24888503,,,24012632,,,23994193,,,22234828,,,19254588,,,21242841,,,23042519,,,20858321,,,17999454,,,22908720,,,25115369,,
"TOTAL ALL PRODUCTS","South Africa","Americas",3952956,,,4129665,,,4382205,,,3775105,,,3726555,,,3432984,,,3537109,,,2744653,,,3759947,,,4870043,,,5325652,,,6630289,,,8262841,,,8454711,,,4837121,,,8940685,,,10718736,,,9096351,,,8100760,,,8010502,,,7487704,,,6730782,,,7981322,,,8200869,,,7798857,,,10061156,,,14725304,,,13247399,,
"TOTAL ALL PRODUCTS","South Africa","Asia",6858780,,,7181779,,,7671549,,,6477648,,,6525872,,,6037190,,,5719596,,,4969317,,,7355691,,,10180958,,,12510589,,,14067779,,,18349662,,,22078004,,,15960202,,,28453563,,,44119931,,,43309379,,,44354309,,,40223859,,,30323088,,,28998945,,,35446165,,,36790791,,,34271725,,,32242354,,,49204899,,,48295648,,
"TOTAL ALL PRODUCTS","South Africa","Europe",10554849,,,11072023,,,11748672,,,9998557,,,10116088,,,9556272,,,9766940,,,8677332,,,11372210,,,14214639,,,16582285,,,18771365,,,21580997,,,24621002,,,16552982,,,22649043,,,25984489,,,20543299,,,17678472,,,19423177,,,18707368,,,19876787,,,22086021,,,24439100,,,25168656,,,23549496,,,33257629,,,33464838,,
"TOTAL ALL PRODUCTS","South Africa","Oceania",486527,,,511769,,,546596,,,455337,,,471432,,,439085,,,400689,,,402538,,,622765,,,830176,,,1137613,,,1031151,,,1057979,,,1204262,,,612570,,,1011275,,,893552,,,877275,,,807222,,,811168,,,882499,,,702981,,,934419,,,893028,,,794176,,,760814,,,885503,,,911386,,
"TOTAL ALL PRODUCTS","United Kingdom","Brazil",905225,,,1195065,,,1683871,,,1534110,,,1115909,,,1174231,,,1174435,,,1332742,,,1354762,,,1451327,,,1526680,,,1691650,,,2161698,,,3005541,,,2707191,,,3311072,,,3725439,,,4093084,,,4025714,,,3798274,,,3276148,,,2550113,,,2320628,,,2551447,,,2464128,,,2224255,,,2518015,,,3116756,,
"TOTAL ALL PRODUCTS","United Kingdom","Canada",2570707,,,2733204,,,3531579,,,3638820,,,3551424,,,5315553,,,4688269,,,4821286,,,5435393,,,6179371,,,6044410,,,7159481,,,6737318,,,7054970,,,6202126,,,7545285,,,8914779,,,7692771,,,7080068,,,6743229,,,5873845,,,6241955,,,6231706,,,7308091,,,6726911,,,7551851,,,7021059,,,7651643,,
"TOTAL ALL PRODUCTS","United Kingdom","China",1183090,,,1036102,,,1507431,,,1439828,,,1876804,,,2223832,,,2480855,,,2277914,,,3181390,,,4360575,,,5139824,,,6034544,,,7580755,,,9065641,,,8053613,,,11293784,,,14088514,,,15688191,,,18119205,,,26235500,,,27625409,,,18142280,,,21382916,,,27701868,,,30154261,,,18512672,,,20890207,,,35557374,,
"TOTAL ALL PRODUCTS","United Kingdom","France",21738681,,,23876741,,,26285846,,,26418444,,,24847474,,,28475980,,,27630946,,,28342976,,,30905215,,,34662510,,,36467378,,,54587603,,,37085677,,,35571702,,,29003201,,,31649503,,,37636122,,,34477025,,,35028468,,,32494140,,,27275622,,,26461828,,,30381011,,,32081599,,,31361516,,,23871685,,,26360468,,,30586433,,
"TOTAL ALL PRODUCTS","United Kingdom","Germany",28935371,,,29895801,,,32585752,,,32961284,,,29636014,,,34788506,,,34086816,,,32876552,,,33577571,,,40234413,,,41794206,,,51279137,,,50684444,,,53919201,,,39446095,,,44671052,,,54137865,,,52046679,,,48040601,,,52026088,,,46631518,,,43797384,,,46663005,,,47510720,,,46352026,,,41631997,,,40956680,,,41222259,,
"TOTAL ALL PRODUCTS","United Kingdom","India",2385375,,,2508580,,,2580631,,,2081100,,,2203199,,,3798594,,,2956998,,,2860224,,,3895043,,,4305705,,,5369975,,,5013552,,,5942941,,,7781273,,,4611893,,,6212142,,,8800370,,,7239687,,,8005564,,,6411584,,,5978363,,,4425198,,,5250483,,,6613179,,,5878703,,,3926450,,,6077972,,,10137486,,
"TOTAL ALL PRODUCTS","United Kingdom","Italy",11127674,,,11234413,,,13037622,,,13789937,,,11782564,,,13212226,,,12328950,,,12913569,,,14181441,,,15612834,,,15830012,,,18096998,,,18747204,,,17546641,,,13111925,,,13662263,,,16165742,,,12382521,,,13148546,,,14419418,,,12871488,,,13123472,,,13195139,,,13966539,,,12713795,,,11026902,,,12170803,,,11314916,,
"TOTAL ALL PRODUCTS","United Kingdom","Japan",5653637,,,6454825,,,6843124,,,5339737,,,5182966,,,5686266,,,5404365,,,5499477,,,6237954,,,7110905,,,7103262,,,7515739,,,7698685,,,7096363,,,5285602,,,6664162,,,7164625,,,7265956,,,7039625,,,7129033,,,6589815,,,6404653,,,7369537,,,8380560,,,8340855,,,7139832,,,7568325,,,7215217,,
"TOTAL ALL PRODUCTS","United Kingdom","Russian Federation",1299473,,,1522846,,,2019026,,,1553989,,,853196,,,1012814,,,1295341,,,1485757,,,2318575,,,2699755,,,3415748,,,3802561,,,5677296,,,7755205,,,3595040,,,5334285,,,7667131,,,8744455,,,8104219,,,6641244,,,3893959,,,3479439,,,3696872,,,3315035,,,3375962,,,2758999,,,3819565,,,1265782,,
"TOTAL ALL PRODUCTS","United Kingdom","South Africa",,,,,,,,,,,,,,,,2291405,,,2246448,,,2418982,,,2914657,,,3453978,,,3791481,,,4027371,,,4341747,,,5721059,,,3375178,,,4689858,,,6847663,,,5500088,,,4055613,,,3919867,,,3364302,,,2666485,,,2736307,,,2774439,,,2349541,,,1676027,,,1986439,,,2094520,,
"TOTAL ALL PRODUCTS","United Kingdom","United States of America",26837271,,,29113602,,,35007619,,,36508935,,,37328695,,,45460636,,,42945682,,,43917974,,,49326462,,,52721236,,,56706302,,,59470792,,,65259143,,,65168292,,,52754317,,,58649953,,,62900789,,,64195617,,,62795007,,,64197476,,,69381207,,,61568659,,,59098116,,,65985305,,,73528705,,,55608216,,,59891117,,,64421983,,
"TOTAL ALL PRODUCTS","United Kingdom","World",234372202,,,253622092,,,278906969,,,270295285,,,265442493,,,294899047,,,279425459,,,285996254,,,312059900,,,355027954,,,392744019,,,458598557,,,454005490,,,482020962,,,359615540,,,422014118,,,517288693,,,481225754,,,548041853,,,511145443,,,466295683,,,411463356,,,441847324,,,490840364,,,468322416,,,395692087,,,470547786,,,531483660,,
"TOTAL ALL PRODUCTS","United Kingdom","Africa",4233414,,,4478162,,,5380053,,,5173563,,,4663819,,,7093067,,,6982906,,,7297280,,,8725829,,,10238729,,,10515694,,,11480868,,,12969784,,,16757857,,,12263292,,,15600159,,,19238075,,,18264292,,,16623824,,,15568614,,,12221955,,,11350995,,,11055984,,,11272451,,,11030136,,,8350322,,,10499982,,,11214341,,
"TOTAL ALL PRODUCTS","United Kingdom","Americas",33318017,,,36214653,,,44456948,,,46162887,,,45742890,,,55841810,,,52282288,,,53297387,,,59528407,,,64360742,,,68257957,,,73065355,,,79518378,,,80984683,,,66217830,,,75150064,,,85552218,,,88680264,,,81474613,,,81011161,,,85083734,,,75669165,,,73587407,,,81734528,,,88500849,,,69799707,,,74332417,,,81582673,,
"TOTAL ALL PRODUCTS","United Kingdom","Asia",34436095,,,38888590,,,48989520,,,38644017,,,32351981,,,40533139,,,37679713,,,37294283,,,45095819,,,53433216,,,63137239,,,61296859,,,67882825,,,77692789,,,59759304,,,73617523,,,90669245,,,95239756,,,115118685,,,110215820,,,107560775,,,88810593,,,101821759,,,117255993,,,109588718,,,83041433,,,94406665,,,136788479,,
"TOTAL ALL PRODUCTS","United Kingdom","Europe",130770647,,,141168223,,,158256942,,,158937299,,,161825912,,,186044390,,,177926143,,,183631998,,,193738513,,,221312278,,,244521470,,,306219950,,,285319757,,,296611243,,,214742589,,,250364092,,,311438898,,,267410641,,,323338994,,,292526893,,,249844656,,,224008958,,,240427386,,,264623318,,,242737725,,,218023994,,,260919487,,,274373318,,
"TOTAL ALL PRODUCTS","United Kingdom","Oceania",3810685,,,4195246,,,4823260,,,4399838,,,3869177,,,4647010,,,3863391,,,3748380,,,4449706,,,5256746,,,5847545,,,6014625,,,7704892,,,8828448,,,5413697,,,5870892,,,7824141,,,8049123,,,7408995,,,7218766,,,6736416,,,6369086,,,6987625,,,7185171,,,6682375,,,6130922,,,7046095,,,6634531,,
"TOTAL ALL PRODUCTS","United States of America","Brazil",11443585,,,12699212,,,15912279,,,15156974,,,13249028,,,15320854,,,15879440,,,12375975,,,11210932,,,13886375,,,15371578,,,19227472,,,24628261,,,32909858,,,26175324,,,35417484,,,43018839,,,43771024,,,44092977,,,42427834,,,31650624,,,30193264,,,37329690,,,39559841,,,43083196,,,35046879,,,46882040,,,53577707,,
"TOTAL ALL PRODUCTS","United States of America","Canada",126021755,,,132579559,,,150120410,,,154148100,,,163903550,,,178919985,,,163421117,,,160918225,,,169920170,,,189878784,,,211895288,,,230244127,,,248408654,,,260890167,,,204720827,,,249248666,,,281237169,,,292567767,,,300685611,,,312371471,,,280582448,,,266701920,,,282450324,,,299744493,,,292338433,,,255021619,,,306926753,,,354887051,,
"TOTAL ALL PRODUCTS","United States of America","China",11748110,,,11977746,,,12804865,,,14257942,,,13117666,,,16184679,,,19181936,,,22127509,,,28367721,,,34427687,,,41190675,,,55224097,,,65237883,,,71456412,,,69575613,,,91910977,,,104121383,,,110516536,,,121721076,,,123675623,,,116071709,,,115594770,,,129797515,,,120147866,,,106626645,,,124648508,,,151065177,,,153837022,,
"TOTAL ALL PRODUCTS","United States of America","France",14802935,,,14836398,,,16581652,,,18071189,,,19146609,,,20517445,,,20094108,,,19343056,,,17328494,,,21233118,,,22395612,,,24385839,,,27819120,,,29948925,,,27043697,,,27724343,,,28859448,,,31925500,,,33864704,,,32449632,,,31480817,,,32634011,,,34218039,,,37649478,,,38751856,,,28273988,,,30678290,,,46928790,,
"TOTAL ALL PRODUCTS","United States of America","Germany",22370009,,,23468776,,,24459615,,,26633982,,,26786595,,,29445968,,,29994488,,,26628846,,,28830851,,,31411580,,,34175631,,,41313147,,,49611212,,,54672137,,,43220925,,,47994836,,,48939215,,,48372035,,,46862995,,,49028160,,,49641402,,,49369910,,,53561607,,,57332502,,,59797036,,,57163226,,,64806424,,,72549705,,
"TOTAL ALL PRODUCTS","United States of America","India",3295743,,,3318091,,,3615603,,,3544679,,,3707364,,,3667128,,,3757045,,,4101055,,,4979693,,,6109357,,,7918597,,,10091104,,,17592455,,,18666534,,,16462437,,,19248887,,,21542181,,,22105715,,,21811337,,,21607499,,,21451880,,,21647174,,,25648234,,,33502787,,,34409575,,,27394260,,,40130035,,,47332140,,
"TOTAL ALL PRODUCTS","United States of America","Italy",8867739,,,8791158,,,8982002,,,9036585,,,10103929,,,11060039,,,9915281,,,10056680,,,10560550,,,10684732,,,11524307,,,12566238,,,14141169,,,15478024,,,12232372,,,14219761,,,16037460,,,16096249,,,16753582,,,16965272,,,16201294,,,16721743,,,18389102,,,22794526,,,23788416,,,19920417,,,21711410,,,27410694,,
"TOTAL ALL PRODUCTS","United States of America","Japan",64259695,,,67514643,,,65657898,,,57884417,,,57480837,,,64921645,,,57449648,,,51447934,,,52003765,,,53568570,,,54679311,,,59647551,,,62663665,,,66573422,,,51178320,,,60469046,,,65791777,,,69971995,,,65213790,,,66825973,,,62441250,,,63245046,,,67582504,,,75226086,,,74650662,,,64090703,,,74960699,,,80304526,,
"TOTAL ALL PRODUCTS","United States of America","Russian Federation",2826171,,,3340129,,,3288740,,,3584616,,,1844678,,,2092380,,,2716088,,,2396944,,,2447218,,,2960937,,,3962250,,,4717016,,,7365333,,,9335368,,,5382808,,,5993665,,,8318439,,,10695291,,,11144526,,,10752773,,,7087112,,,5831103,,,7002945,,,6658956,,,5786748,,,4883766,,,6388251,,,1715080,,
"TOTAL ALL PRODUCTS","United States of America","South Africa",,,,,,,,,,,,,,,,3089510,,,2959581,,,2524908,,,2819271,,,3178506,,,3906947,,,4461684,,,5517220,,,6494696,,,4460552,,,5631634,,,7271228,,,7552736,,,7293060,,,6368196,,,5458228,,,4599872,,,5050534,,,5517377,,,5333694,,,4454735,,,5501252,,,6514872,,
"TOTAL ALL PRODUCTS","United States of America","United Kingdom",28826384,,,30914902,,,36433768,,,39068591,,,38337460,,,41569587,,,40712585,,,33204013,,,33827044,,,35900252,,,38560828,,,45391799,,,50294385,,,53771992,,,45707871,,,48328089,,,56009021,,,54853629,,,47339021,,,53808147,,,56103380,,,55188786,,,56242316,,,66293664,,,69100920,,,58975470,,,61430610,,,77261014,,
"TOTAL ALL PRODUCTS","United States of America","World",582964675,,,622784143,,,687532542,,,680434597,,,692783784,,,781830673,,,729080421,,,693068307,,,724736583,,,814844394,,,901041411,,,1037029200,,,1162538100,,,1299898900,,,1056712100,,,1278099200,,,1481682200,,,1544932000,,,1577587300,,,1619742900,,,1501845900,,,1450906300,,,1545809600,,,1665302937,,,1644276221,,,1430253623,,,1753136708,,,2062089833,,
"TOTAL ALL PRODUCTS","United States of America","Africa",7086364,,,7433747,,,8323894,,,7432559,,,7084726,,,10962206,,,12116530,,,10660100,,,10610413,,,13199248,,,15305740,,,18998806,,,23658533,,,28630025,,,24274177,,,28323995,,,32723460,,,32707221,,,35227019,,,38052397,,,27122430,,,21821858,,,22056077,,,26042676,,,26620196,,,22142650,,,26652775,,,30678094,,
"TOTAL ALL PRODUCTS","United States of America","Americas",221792251,,,241457570,,,283930172,,,296254628,,,305853028,,,349381914,,,322661776,,,309616301,,,319046654,,,361697531,,,404352293,,,453223480,,,492062904,,,549577768,,,443073545,,,547847946,,,646478238,,,690522220,,,709442049,,,735598347,,,667534631,,,631852341,,,675752594,,,728590497,,,710367416,,,597279386,,,757400170,,,903853346,,
"TOTAL ALL PRODUCTS","United States of America","Asia",200053202,,,210845181,,,218192905,,,191719349,,,194739508,,,223285645,,,202847708,,,197736871,,,210189970,,,235988907,,,258032381,,,305164221,,,345471496,,,379897640,,,316486356,,,399564006,,,456164761,,,471525615,,,490286451,,,495878674,,,468601306,,,463763812,,,497315159,,,522140169,,,506360974,,,463028482,,,566003153,,,618901761,,
"TOTAL ALL PRODUCTS","United States of America","Europe",125021731,,,132429713,,,145105744,,,152156849,,,167740307,,,183068953,,,177813468,,,159684600,,,169481714,,,187362509,,,204481306,,,238416776,,,278408727,,,315993806,,,250212797,,,276662410,,,314075442,,,314664756,,,312423698,,,318742714,,,309278866,,,306988710,,,321192975,,,358146058,,,369759368,,,320570987,,,372102739,,,473424701,,
"TOTAL ALL PRODUCTS","United States of America","Oceania",12795248,,,14066331,,,14424054,,,14225635,,,14165012,,,14824907,,,13378796,,,15183318,,,15222121,,,16371933,,,18653407,,,21101565,,,22508076,,,25616584,,,22430280,,,25318649,,,32010342,,,35325592,,,30019645,,,31470631,,,29308630,,,26477780,,,29492793,,,30383537,,,31168267,,,27232118,,,30977872,,,35231932,,
